"""CODI"""	"""NOM_OFICIAL"""
102	Carrer dels Llebrencs
180	Carrer A Zona Franca
204	Carrer de Guerau de Liost
306	Carrer de l'Abat Odó
408	Carrer de l'Abat Samsó
500	Carrer de l'Abat Safont
601	Carrer de l'Abadessa Olzet
703	Carrer dels Abaixadors
805	Carrer d'Abd el-Kader
907	Carrer d'Abdó Terradas
1003	Carrer d'Abella
1105	Carrer de Manuel Ballbé
1309	Carrer de les Acàcies
1400	Plaça de l'Acadèmia
1502	Carrer de la Sèquia
1604	Carrer de la Sèquia Comtal
1706	Carrer de la Sèquia Madriguera
1808	Carrer de l'Acer
1900	Carrer de l'Actor Morano
2006	Carrer de l'Actriu Tubau
2050	Carrer d'Adolf Florensa
2200	Carrer d'Adrall
2210	Avinguda d'Adrià Gual
2403	Carrer d'Adrià Margarit
2505	Plaça d'Adrià
2607	Carrer de la Duana
2709	Carrer dels Afores
2902	Carrer de n'Aglà
3009	Carrer d'Agramunt
3100	Carrer de l'Agregació
3202	Carrer d'Anna M. Martínez Sagi
3406	Carrer de l'Agricultura
3508	Carretera de les Aigües
3552	Camí de les Aigües
3600	Carrer dels Agudells
3701	Carrer de les Agudes
3803	Carrer de l'Àliga
3905	Carrer d'Aguilar
4001	Carrer d'Agullana
4103	Carrer dels Agullers
4125	Carrer d'Agustí Duran i Sanpere
4205	Carrer d'Agustí i Milà
4307	Carrer d'Agustina Saragossa
4409	Carrer d'Aiguablava
4500	Carrer d'Aiguafreda
4602	Carrer d'Aigüesmortes
4908	Carrer d'Àlaba
5004	Carrer de l'Alba
5106	Carrer d'Albacete
5208	Carrer d'Albània
5401	Carrer d'Albareda
5503	Carrer d'Ourense
5707	Carrer d'Albert Llanas
5809	Passatge d'Albert Pinyol
6109	Carrer dels Albigesos
6302	Carrer d'Alcalá de Guadaira
6404	Plaça de l'Alcalde Baró de Viver
6506	Carrer de l'Alcalde Miralles
6608	Carrer de l'Alcalde de Móstoles
6801	Carrer de l'Alcalde de Zalamea
7000	Carrer d'Alcamo
7101	Carrer d'Alcanar
7203	Carrer d'Alcántara
7258	Carrer de Martí i Franquès
7305	Avinguda de l'Exèrcit
7407	Carrer d'Alcolea
7509	Carrer d'Alcoi
7600	Carrer d'Alcúdia
7702	Carrer d'Aldana
7804	Carrer de l'Aldea
7906	Carrer de Ca l'Alegre de Dalt
8079	Carrer de la Malva
8104	Carrer d'Alexandre de Torrelles
8206	Carrer d'Alella
8308	Carrer de l'Alfambra
8400	Carrer d'Alfarràs
8501	Carrer d'Alfons XII
8603	Carrer de Costa i Cuxart
8705	Carrer d'Alfons el Magnànim
8807	Plaça d'Alfons el Savi
8909	Carrer dels Algarves
9005	Carrer de l'Alguer
9071	Passatge del Violer
9107	Carrer d'Alhucemas
9209	Carrer d'Alí Bei
9300	Passatge d'Alí Bei
9402	Carrer d'Alacant
9457	Carrer d'Alighieri
9606	Passatge d'Alió
9708	Carrer dels Magatzems
9800	Carrer d'Almagro
9901	Carrer d'Almansa
10004	Carreró de les Ànimes
10106	Carrer d'Almassora
10208	Carrer d'Almenara Alta
10300	Carrer dels Ametllers
10401	Passatge dels Ametllers
10503	Carrer d'Almeria
10707	Carrer de l'Almirall Aixada
10809	Carrer de l'Almirall Barceló
10900	Carrer de Pepe Rubianes
10955	Carrer de l'Almirall Okendo
11007	Carrer de l'Almirall Pròixida
11109	Carrer de l'Almirall Churruca
11200	Carrer dels Almogàvers
11302	Carrer d'Alonso Cano
11404	Passatge d'Aloi
11506	Carrer d'Alpens
11583	Carrer d'Alsàcia
11608	Carrer de n'Alsina
11732	Passatge Alt del Turó
11776	Carrer Alt
11801	Plaça Alta de Can Clos
11903	Carrer Alt de Gironella
12000	Carrer Alt de Mariner
12101	Passatge Alt de Mariner
12203	Carrer Alt de Pedrell
12305	Carretera Alta de les Roquetes
12407	Carrer de Sant Pere Més Alt
12509	Carrer d'Altafulla
12600	Carrer dels Alts Forns
12702	Carrer de l'Alumini
12804	Carrer d'Alvarado
12859	Passeig de l'Agrícola
12906	Carrer d'Allada-Vermell
13002	Carrer d'Alloza
13104	Carrer d'Amadeu Vives
13308	Carrer de la Rosella
13400	Carrer de n'Amargós
13501	Carrer de l'Amargor
13603	Carrer d'Amer
13705	Carrer d'Amèrica
13807	Plaça d'Amich
13909	Carrer d'Amigó
14005	Carrer dels Amics
14107	Carrer d'Amílcar
14209	Carrer de l'Amistat
14300	Carrer de l'Amor
14402	Carrer de Joan Obiols
14504	Carrer d'Amposta
14606	Carrer de l'Empordà
14708	Carrer d'Empúries
14800	Carrer d'Anna Piferrer
14821	Passeig d'Anna Rúbies
14901	Passatge d'Andalet
15008	Carrer d'Andalusia
15052	Carrer de l'Andana de l'Estació
15100	Carrer d'Andorra
15201	Carrer d'Andrade
15303	Carrer d'Andratx
15405	Carrer d'Andrea Doria
15507	Carrer d'Andreu Febrer
15700	Passatge d'Andreví
15755	Carrer d'Andròmeda
15802	Carrer d'Aneto
15904	Carrer de l'Àngel
15959	Pas de l'Àngel
16000	Plaça de l'Àngel
16102	Carrer d'Àngel J. Baixeras
16204	Carrer d'Àngel Guimerà
16306	Carrer d'Àngel Marquès
16350	Plaça d'Àngel Pestaña
16408	Carrer dels Àngels
16500	Camí dels Àngels
16601	Plaça dels Àngels
16703	Carrer d'Anglesola
16805	Passatge d'Anglesola
16907	Carrer d'Anglí
17105	Carrer d'Anníbal
17309	Carrer de l'Anisadeta
17320	Carrer d'Anselm Turmeda
17400	Carrer d'Antequera
17433	Carrer Antic de Bofarull
17466	Carretera Antiga d'Horta
17502	Carrer Antic de Sant Joan
17557	Carrer Antic del Guinardó
17568	Passatge Antic de València
17579	Camí Antic de València
17604	Carrer de les Antilles
17706	Carrer d'Antoni de Capmany
17808	Carrer d'Antoni Costa
17900	Passatge d'Antoni Gassol
18006	Plaça d'Antonio López
18200	Plaça d'Antoni Maura
18254	Carrer d'Antonio Machado
18301	Carrer de Francesc Bolòs
18403	Carrer d'Antonio Ricardos
18505	Carrer d'Aragó
18607	Passatge d'Aragó
18800	Carrer de n'Arai
18902	Carrer d'Arbeca
19100	Carrer d'Arbós
19202	Carrer d'Arbúcies
19257	Passatge d'Arcadia
19406	Carrer de la Volta d'en Bufanalla
19508	Carrer de la Volta d'en Colomines
