CODI;NOM_OFICIAL
000102;Carrer dels Llebrencs
000180;Carrer A Zona Franca
000204;Carrer de Guerau de Liost
000306;Carrer de l'Abat Odó
000408;Carrer de l'Abat Samsó
000500;Carrer de l'Abat Safont
000601;Carrer de l'Abadessa Olzet
000703;Carrer dels Abaixadors
000805;Carrer d'Abd el-Kader
000907;Carrer d'Abdó Terradas
001003;Carrer d'Abella
001105;Carrer de Manuel Ballbé
001309;Carrer de les Acàcies
001400;Plaça de l'Acadèmia
001502;Carrer de la Sèquia
001604;Carrer de la Sèquia Comtal
001706;Carrer de la Sèquia Madriguera
001808;Carrer de l'Acer
001900;Carrer de l'Actor Morano
002006;Carrer de l'Actriu Tubau
002050;Carrer d'Adolf Florensa
002200;Carrer d'Adrall
002210;Avinguda d'Adrià Gual
002403;Carrer d'Adrià Margarit
002505;Plaça d'Adrià
002607;Carrer de la Duana
002709;Carrer dels Afores
002902;Carrer de n'Aglà
003009;Carrer d'Agramunt
003100;Carrer de l'Agregació
003202;Carrer d'Anna M. Martínez Sagi
003406;Carrer de l'Agricultura
003508;Carretera de les Aigües
003552;Camí de les Aigües
003600;Carrer dels Agudells
003701;Carrer de les Agudes
003803;Carrer de l'Àliga
003905;Carrer d'Aguilar
004001;Carrer d'Agullana
004103;Carrer dels Agullers
004125;Carrer d'Agustí Duran i Sanpere
004205;Carrer d'Agustí i Milà
004307;Carrer d'Agustina Saragossa
004409;Carrer d'Aiguablava
004500;Carrer d'Aiguafreda
004602;Carrer d'Aigüesmortes
004908;Carrer d'Àlaba
005004;Carrer de l'Alba
005106;Carrer d'Albacete
005208;Carrer d'Albània
005401;Carrer d'Albareda
005503;Carrer d'Ourense
005707;Carrer d'Albert Llanas
005809;Passatge d'Albert Pinyol
006109;Carrer dels Albigesos
006302;Carrer d'Alcalá de Guadaira
006404;Plaça de l'Alcalde Baró de Viver
006506;Carrer de l'Alcalde Miralles
006608;Carrer de l'Alcalde de Móstoles
