DISTRICTE;NOM_DISTRICTE;BARRI;NOM_BARRI;X_MIN;Y_MIN;X_MAX;Y_MAX
01;Ciutat Vella;;;430018;4578790;433089;4582623
01;Ciutat Vella;01;el Raval;430018;4580195;431678;4581937
01;Ciutat Vella;02;el Barri Gòtic;430600;4580632;431849;4582213
01;Ciutat Vella;03;la Barceloneta;431636;4578790;433089;4582126
01;Ciutat Vella;04;Sant Pere, Santa Caterina i la Ribera;430837;4581402;432576;4582623
02;Eixample;;;428282;4580718;432034;4584827
02;Eixample;05;el Fort Pienc;430897;4582526;432034;4583812
02;Eixample;06;la Sagrada Família;430514;4583489;431934;4584827
02;Eixample;07;la Dreta de l'Eixample;429335;4581889;431466;4583792
02;Eixample;08;l'Antiga Esquerra de l'Eixample;428405;4581521;430221;4582988
02;Eixample;09;la Nova Esquerra de l'Eixample;428282;4580773;429645;4582462
02;Eixample;10;Sant Antoni;428881;4580718;430409;4581984
03;Sants-Montjuïc;;;424738;4574282;431708;4581921
03;Sants-Montjuïc;11;el Poble-sec;428235;4578154;431120;4580799
03;Sants-Montjuïc;12;la Marina del Prat Vermell;424738;4574282;431708;4580470
03;Sants-Montjuïc;13;la Marina de Port;427399;4578320;428856;4580028
03;Sants-Montjuïc;14;la Font de la Guatlla;428042;4579729;428948;4580589
03;Sants-Montjuïc;15;Hostafrancs;428122;4580179;428857;4581326
03;Sants-Montjuïc;16;la Bordeta;427241;4579473;428288;4580613
03;Sants-Montjuïc;17;Sants - Badal;426561;4580206;427397;4581240
03;Sants-Montjuïc;18;Sants;427181;4580288;428333;4581921
04;Les Corts;;;424576;4580833;428467;4583674
04;Les Corts;19;les Corts;427001;4581239;428467;4582716
04;Les Corts;20;la Maternitat i Sant Ramon;424889;4580833;427182;4582225
04;Les Corts;21;Pedralbes;424576;4581534;427234;4583674
05;Sarrià-Sant Gervasi;;;420812;4582435;429420;4587642
05;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;420812;4583641;427406;4587642
05;Sarrià-Sant Gervasi;23;Sarrià;425043;4582435;427252;4585110
05;Sarrià-Sant Gervasi;24;les Tres Torres;426680;4582588;427804;4584051
05;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;426357;4583450;428178;4585742
05;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;427505;4582547;429420;4584010
05;Sarrià-Sant Gervasi;27;el Putxet i el Farró;427882;4583564;429052;4585088
06;Gràcia;;;427240;4583014;430795;4586286
06;Gràcia;28;Vallcarca i els Penitents;427240;4584238;429064;4586286
06;Gràcia;29;el Coll;428459;4585003;429139;4585914
06;Gràcia;30;la Salut;428792;4584384;429966;4585387
06;Gràcia;31;la Vila de Gràcia;428908;4583014;430223;4584681
06;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;429644;4583591;430795;4584908
07;Horta-Guinardó;;;426500;4584265;431546;4589113
07;Horta-Guinardó;33;el Baix Guinardó;429901;4584265;430993;4585246
07;Horta-Guinardó;34;Can Baró;429394;4585023;430511;4585738
07;Horta-Guinardó;35;el Guinardó;430198;4584732;431546;4586438
07;Horta-Guinardó;36;la Font d'en Fargues;429654;4585790;430857;4586610
07;Horta-Guinardó;37;el Carmel;428908;4585163;430260;4586762
07;Horta-Guinardó;38;la Teixonera;428172;4585751;429182;4586405
07;Horta-Guinardó;39;Sant Genís dels Agudells;426500;4585462;428334;4587317
07;Horta-Guinardó;40;Montbau;427013;4586269;428868;4588491
07;Horta-Guinardó;41;la Vall d'Hebron;428333;4586201;429298;4587655
07;Horta-Guinardó;42;la Clota;428942;4586373;429566;4587027
07;Horta-Guinardó;43;Horta;427563;4586337;430329;4589113
08;Nou Barris;;;429473;4586315;432256;4591067
08;Nou Barris;44;Vilapicina i la Torre Llobeta;430116;4586315;431851;4586939
08;Nou Barris;45;Porta;430828;4586836;431951;4587891
08;Nou Barris;46;el Turó de la Peira;430077;4586856;431043;4587420
08;Nou Barris;47;Can Peguera;430087;4587160;430641;4587592
08;Nou Barris;48;la Guineueta;429956;4587356;431089;4588303
08;Nou Barris;49;Canyelles;429473;4587934;430813;4589113
08;Nou Barris;50;les Roquetes;430467;4588302;431877;4589534
08;Nou Barris;51;Verdun;430812;4587822;431463;4588580
08;Nou Barris;52;la Prosperitat;431052;4587753;432149;4588695
08;Nou Barris;53;la Trinitat Nova;431444;4588610;432256;4589764
08;Nou Barris;54;Torre Baró;430160;4588612;432144;4590436
08;Nou Barris;55;Ciutat Meridiana;430416;4589982;431569;4590654
08;Nou Barris;56;Vallbona;431409;4589565;432250;4591067
09;Sant Andreu;;;431152;4584998;434061;4590374
09;Sant Andreu;57;la Trinitat Vella;432138;4588689;433288;4590374
09;Sant Andreu;58;Baró de Viver;432802;4588191;433453;4588912
09;Sant Andreu;59;el Bon Pastor;432638;4586433;434061;4588686
09;Sant Andreu;60;Sant Andreu;431711;4586462;432942;4588778
09;Sant Andreu;61;la Sagrera;431807;4585091;432866;4586664
09;Sant Andreu;62;el Congrés i els Indians;431152;4585637;431844;4586617
09;Sant Andreu;63;Navas;431506;4584998;432429;4586000
10;Sant Martí;;;431088;4581623;435481;4586822
10;Sant Martí;64;el Camp de l'Arpa del Clot;431088;4584154;432049;4585477
10;Sant Martí;65;el Clot;431744;4583931;432895;4585204
10;Sant Martí;66;el Parc i la Llacuna del Poblenou;431645;4582345;432907;4584233
10;Sant Martí;67;la Vila Olímpica del Poblenou;432105;4581623;433642;4583082
10;Sant Martí;68;el Poblenou;432600;4582517;434079;4584321
10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;433453;4582911;435089;4584772
10;Sant Martí;70;el Besòs i el Maresme;433750;4584016;435481;4585869
10;Sant Martí;71;Provençals del Poblenou;432417;4584045;434134;4585633
10;Sant Martí;72;Sant Martí de Provençals;432507;4584698;433565;4585961
10;Sant Martí;73;la Verneda i la Pau;432772;4585353;434137;4586822
