NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y
1;424954.945;4584990.740
2;424976.061;4584982.834
3;424954.945;4584990.740
4;424963.222;4584994.894
5;424928.798;4585010.259
6;424944.694;4585009.350
7;424928.798;4585010.259
8;424944.694;4585009.350
9;424909.787;4585030.385
10;424926.734;4585022.014
11;424927.725;4585049.417
12;424926.734;4585022.014
13;424957.909;4585062.775
14;424954.698;4585052.718
15;424957.909;4585062.775
16;424954.698;4585052.718
17;424957.909;4585062.775
18;424981.691;4585066.743
19X;424967.176;4585095.759
20;424981.288;4585078.415
21U;424957.566;4585128.563
22;424975.054;4585094.381
24;424975.054;4585094.381
26;424975.054;4585094.381
