NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;429797.238;4586261.956;1
2;429784.402;4586252.738;2
3;429793.287;4586248.604;3
4;429779.642;4586236.524;4
5;429790.811;4586240.118;5
6;429778.111;4586231.186;6
7;429788.588;4586232.762;7
8;429775.682;4586222.898;8
9;429786.664;4586226.368;9
9B;429786.579;4586221.955;9B
10;429771.780;4586214.609;10
11;429784.254;4586218.157;11
11I;429792.080;4586195.496;11I
12;429762.881;4586205.144;12
13;429784.254;4586218.157;13
13B;429780.307;4586211.274;13B
13C;429773.589;4586204.596;13C
13I;429792.080;4586195.496;13I
14;429762.881;4586205.144;14
15;429769.651;4586197.942;15
16;429752.084;4586194.363;16
17;429769.651;4586197.942;17
18;429730.129;4586173.253;18
19;429759.944;4586188.833;19
19U;429777.715;4586151.409;19U
20;429730.129;4586173.253;20
21;429759.944;4586188.833;21
21U;429777.715;4586151.409;21U
22;429730.129;4586173.253;22
23;429751.757;4586182.786;23
24;429730.129;4586173.253;24
25;429747.203;4586178.122;25
27;429742.114;4586171.428;27
29;429735.097;4586165.823;29
31;429729.213;4586158.808;31
33;429718.617;4586148.558;33
35;429718.617;4586148.558;35
36;429637.006;4586102.453;36
37;429675.409;4586132.383;37
38;429637.006;4586102.453;38
39;429675.409;4586132.383;39
40;429621.770;4586092.728;40
41;429675.409;4586132.383;41
42;429621.770;4586092.728;42
43;429675.409;4586132.383;43
44;429605.570;4586082.389;44
45;429675.409;4586132.383;45
46;429589.533;4586072.096;46
47;429630.512;4586088.653;47
48;429586.058;4586069.797;48
49;429630.512;4586088.653;49
49B;429621.244;4586082.681;49B
50;429580.022;4586065.910;50
51;429607.348;4586073.787;51
52;429572.071;4586060.787;52
53;429607.348;4586073.787;53
54;429563.404;4586055.205;54
55;429587.307;4586061.021;55
56;429554.860;4586049.701;56
57;429575.450;4586053.418;57
58;429547.251;4586044.800;58
58B;429541.933;4586041.376;58B
59;429567.983;4586048.629;59
60;429535.448;4586037.199;60
61;429562.357;4586045.022;61
62;429528.699;4586032.850;62
63;429552.909;4586038.963;63
64;429522.140;4586028.626;64
65;429542.286;4586032.151;65
66;429515.923;4586024.621;66
67;429531.583;4586025.290;67
68;429507.005;4586018.877;68
69;429531.583;4586025.290;69
70;429487.245;4586006.284;70
71;429523.087;4586019.841;71
71B;429518.193;4586016.702;71B
72;429477.237;4585999.843;72
73;429511.861;4586012.642;73
74;429469.819;4585995.066;74
75;429497.761;4586002.634;75
76;429463.767;4585991.172;76
76B;429458.621;4585987.859;76B
76I;429448.117;4586004.498;76I
77;429481.689;4585992.474;77
78;429443.280;4585977.984;78
79;429481.689;4585992.474;79
80;429443.280;4585977.984;80
81;429467.605;4585983.567;81
83;429456.637;4585976.626;83
85;429447.183;4585970.643;85
87;429435.675;4585963.422;87
89;429432.478;4585961.388;89
