CODI_CARRER,NUMPOST,LLEPOST,TIPUSNUM,DTE,DIST_POST,SECC_CENS,SECC_EST,BARRI,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD
17502,1, ,1,1,3,44,27,4,431807.36,4582031.078,431715.416,4581830.145,2.183301,41.385101
17502,2, ,2,1,3,45,28,4,431799.108,4582022.717,431707.164,4581821.784,2.183203,41.385025
17502,3, ,1,1,3,44,27,4,431821.14,4582019.391,431729.195,4581818.458,2.183467,41.384997
17502,4, ,2,1,3,45,28,4,431807.453,4582014.182,431715.509,4581813.249,2.183304,41.384949
17502,5, ,1,1,3,44,27,4,431833.979,4582008.501,431742.034,4581807.568,2.183622,41.3849
17502,6, ,2,1,3,45,28,4,431807.453,4582014.182,431715.509,4581813.249,2.183304,41.384949
17502,7, ,1,1,3,43,26,4,431857.517,4581988.522,431765.572,4581787.59,2.183906,41.384722
17502,8, ,2,1,3,45,28,4,431814.756,4582007.478,431722.812,4581806.545,2.183392,41.384889
17502,9, ,1,1,3,43,26,4,431868.206,4581979.378,431776.261,4581778.446,2.184035,41.384641
17502,10, ,2,1,3,45,27,4,431828.507,4581997.673,431736.562,4581796.74,2.183558,41.384802
17502,11, ,1,1,3,43,26,4,431878.858,4581970.264,431786.913,4581769.332,2.184163,41.38456
17502,12, ,2,1,3,45,27,4,431835.749,4581991.448,431743.804,4581790.516,2.183645,41.384747
17502,13, ,1,1,3,43,26,4,431894.898,4581956.542,431802.953,4581755.61,2.184356,41.384437
17502,14, ,2,1,3,43,26,4,431849.022,4581980.314,431757.077,4581779.382,2.183805,41.384648
17502,15, ,1,1,3,43,26,4,431894.898,4581956.542,431802.953,4581755.61,2.184356,41.384437
17502,16, ,2,1,3,43,26,4,431849.022,4581980.314,431757.077,4581779.382,2.183805,41.384648
17502,18, ,2,1,3,43,26,4,431853.444,4581972.914,431761.499,4581771.982,2.183859,41.384581
17502,20, ,2,1,3,43,26,4,431859.072,4581971.569,431767.127,4581770.637,2.183926,41.38457
17502,22, ,2,1,3,43,26,4,431880.926,4581952.846,431788.981,4581751.914,2.18419,41.384403
17502,24, ,2,1,3,43,26,4,431880.926,4581952.846,431788.981,4581751.914,2.18419,41.384403
17502,26, ,2,1,3,43,26,4,431880.926,4581952.846,431788.981,4581751.914,2.18419,41.384403
17502,28, ,2,1,3,43,26,4,431880.926,4581952.846,431788.981,4581751.914,2.18419,41.384403
17502,30, ,2,1,3,43,26,4,431880.926,4581952.846,431788.981,4581751.914,2.18419,41.384403
17502,32, ,2,1,3,43,26,4,431880.926,4581952.846,431788.981,4581751.914,2.18419,41.384403
17502,34, ,2,1,3,43,26,4,431880.926,4581952.846,431788.981,4581751.914,2.18419,41.384403
