NUM_LLETRA_POST;ETRS89_COORD_X;ETRS89_COORD_Y;NUM_OFICIAL
1;432913.159;4585335.415;1
2;432921.041;4585358.471;2
2B;432928.991;4585350.547;2B
3;432904.184;4585344.505;3
4;432921.041;4585358.471;4
5;432887.805;4585348.529;5
6;432915.934;4585376.286;6
7;432877.552;4585359.081;7
8;432904.332;4585387.689;8
9;432865.527;4585371.311;9
10;432894.219;4585398.322;10
11;432860.009;4585389.484;11
12;432878.092;4585402.409;12
13;432848.726;4585400.673;13
14;432878.092;4585402.409;14
14B;432864.990;4585415.845;14B
15;432824.498;4585425.731;15
16;432839.104;4585441.978;16
17;432812.831;4585437.632;17
18;432827.816;4585453.435;18
19;432794.889;4585444.048;19
20;432822.318;4585471.444;20
21;432783.934;4585455.003;21
22;432811.533;4585482.833;22
23;432772.568;4585466.675;23
24;432800.033;4585494.392;24
25;432766.587;4585484.988;25
26;432782.485;4585500.027;26
27;432755.518;4585496.140;27
28;432770.996;4585512.180;28
